idx,is_inclusive,premise,question,label
73,0,Either Amanda is not capable or Diana is cordial. Amanda is capable.,Amanda is capable,1
74,0,Either Amanda is not capable or Diana is cordial. Amanda is capable.,Amanda is not capable,0
75,0,Either Amanda is not capable or Diana is cordial. Amanda is capable.,Diana is cordial,1
76,0,Either Amanda is not capable or Diana is cordial. Amanda is capable.,Diana is not cordial,0
77,0,Either Parker is not patient or Barbara is not fussy. Barbara is fussy.,Parker is patient,0
78,0,Either Parker is not patient or Barbara is not fussy. Barbara is fussy.,Parker is not patient,1
79,0,Either Parker is not patient or Barbara is not fussy. Barbara is fussy.,Barbara is fussy,1
80,0,Either Parker is not patient or Barbara is not fussy. Barbara is fussy.,Barbara is not fussy,0
81,1,Cullen is not deep or Clifford is not slovenly. Clifford is slovenly.,Cullen is deep,0
82,1,Cullen is not deep or Clifford is not slovenly. Clifford is slovenly.,Cullen is not deep,1
83,1,Cullen is not deep or Clifford is not slovenly. Clifford is slovenly.,Clifford is slovenly,1
84,1,Cullen is not deep or Clifford is not slovenly. Clifford is slovenly.,Clifford is not slovenly,0
85,1,Henry is naughty or Caleb is not sweet. Caleb is not sweet.,Henry is naughty,1
86,1,Henry is naughty or Caleb is not sweet. Caleb is not sweet.,Henry is not naughty,1
87,1,Henry is naughty or Caleb is not sweet. Caleb is not sweet.,Caleb is sweet,0
88,1,Henry is naughty or Caleb is not sweet. Caleb is not sweet.,Caleb is not sweet,1
89,1,Eugene is dreary or Mollie is not fiery. Mollie is fiery.,Eugene is dreary,1
90,1,Eugene is dreary or Mollie is not fiery. Mollie is fiery.,Eugene is not dreary,0
91,1,Eugene is dreary or Mollie is not fiery. Mollie is fiery.,Mollie is fiery,1
92,1,Eugene is dreary or Mollie is not fiery. Mollie is fiery.,Mollie is not fiery,0
93,0,Either Malinda is not intolerant or Jonathan is not fabulous. Jonathan is not fabulous.,Malinda is intolerant,1
94,0,Either Malinda is not intolerant or Jonathan is not fabulous. Jonathan is not fabulous.,Malinda is not intolerant,0
95,0,Either Malinda is not intolerant or Jonathan is not fabulous. Jonathan is not fabulous.,Jonathan is fabulous,0
96,0,Either Malinda is not intolerant or Jonathan is not fabulous. Jonathan is not fabulous.,Jonathan is not fabulous,1
97,1,Tessie is disruptive or Teena is clumsy. Teena is clumsy.,Tessie is disruptive,1
98,1,Tessie is disruptive or Teena is clumsy. Teena is clumsy.,Tessie is not disruptive,1
99,1,Tessie is disruptive or Teena is clumsy. Teena is clumsy.,Teena is clumsy,1
100,1,Tessie is disruptive or Teena is clumsy. Teena is clumsy.,Teena is not clumsy,0
101,0,Either Isobel is not versatile or Eldon is not emotional. Eldon is not emotional.,Isobel is versatile,1
102,0,Either Isobel is not versatile or Eldon is not emotional. Eldon is not emotional.,Isobel is not versatile,0
103,0,Either Isobel is not versatile or Eldon is not emotional. Eldon is not emotional.,Eldon is emotional,0
104,0,Either Isobel is not versatile or Eldon is not emotional. Eldon is not emotional.,Eldon is not emotional,1
105,0,Either Tory is cynical or Alda is not peaceful. Tory is not cynical.,Tory is cynical,0
106,0,Either Tory is cynical or Alda is not peaceful. Tory is not cynical.,Tory is not cynical,1
107,0,Either Tory is cynical or Alda is not peaceful. Tory is not cynical.,Alda is peaceful,0
108,0,Either Tory is cynical or Alda is not peaceful. Tory is not cynical.,Alda is not peaceful,1
109,0,Either Lilly is not balanced or Delmar is tactless. Lilly is not balanced.,Lilly is balanced,0
110,0,Either Lilly is not balanced or Delmar is tactless. Lilly is not balanced.,Lilly is not balanced,1
111,0,Either Lilly is not balanced or Delmar is tactless. Lilly is not balanced.,Delmar is tactless,0
112,0,Either Lilly is not balanced or Delmar is tactless. Lilly is not balanced.,Delmar is not tactless,1
113,1,Thursa is not meticulous or Jimmy is natural. Thursa is meticulous.,Thursa is meticulous,1
114,1,Thursa is not meticulous or Jimmy is natural. Thursa is meticulous.,Thursa is not meticulous,0
115,1,Thursa is not meticulous or Jimmy is natural. Thursa is meticulous.,Jimmy is natural,1
116,1,Thursa is not meticulous or Jimmy is natural. Thursa is meticulous.,Jimmy is not natural,0
117,0,Either Leatha is not excellent or Loria is not dependent. Leatha is excellent.,Leatha is excellent,1
118,0,Either Leatha is not excellent or Loria is not dependent. Leatha is excellent.,Leatha is not excellent,0
119,0,Either Leatha is not excellent or Loria is not dependent. Leatha is excellent.,Loria is dependent,0
120,0,Either Leatha is not excellent or Loria is not dependent. Leatha is excellent.,Loria is not dependent,1
121,0,Either Penny is not normal or Alvin is not reliable. Penny is not normal.,Penny is normal,0
122,0,Either Penny is not normal or Alvin is not reliable. Penny is not normal.,Penny is not normal,1
123,0,Either Penny is not normal or Alvin is not reliable. Penny is not normal.,Alvin is reliable,1
124,0,Either Penny is not normal or Alvin is not reliable. Penny is not normal.,Alvin is not reliable,0
125,0,Either Marlene is not competent or Philip is not cold. Marlene is competent.,Marlene is competent,1
126,0,Either Marlene is not competent or Philip is not cold. Marlene is competent.,Marlene is not competent,0
127,0,Either Marlene is not competent or Philip is not cold. Marlene is competent.,Philip is cold,0
128,0,Either Marlene is not competent or Philip is not cold. Marlene is competent.,Philip is not cold,1
129,1,Sid is hateful or Clifton is not love-lorn. Clifton is love-lorn.,Sid is hateful,1
130,1,Sid is hateful or Clifton is not love-lorn. Clifton is love-lorn.,Sid is not hateful,0
131,1,Sid is hateful or Clifton is not love-lorn. Clifton is love-lorn.,Clifton is love-lorn,1
132,1,Sid is hateful or Clifton is not love-lorn. Clifton is love-lorn.,Clifton is not love-lorn,0
133,0,Either Parker is not kind or Nolan is not delicate. Nolan is not delicate.,Parker is kind,1
134,0,Either Parker is not kind or Nolan is not delicate. Nolan is not delicate.,Parker is not kind,0
135,0,Either Parker is not kind or Nolan is not delicate. Nolan is not delicate.,Nolan is delicate,0
136,0,Either Parker is not kind or Nolan is not delicate. Nolan is not delicate.,Nolan is not delicate,1
137,0,Either Jacob is helpful or Preston is not mild. Jacob is not helpful.,Jacob is helpful,0
138,0,Either Jacob is helpful or Preston is not mild. Jacob is not helpful.,Jacob is not helpful,1
139,0,Either Jacob is helpful or Preston is not mild. Jacob is not helpful.,Preston is mild,0
140,0,Either Jacob is helpful or Preston is not mild. Jacob is not helpful.,Preston is not mild,1
141,0,Either Rebecca is stoic or Issac is slovenly. Issac is not slovenly.,Rebecca is stoic,1
142,0,Either Rebecca is stoic or Issac is slovenly. Issac is not slovenly.,Rebecca is not stoic,0
143,0,Either Rebecca is stoic or Issac is slovenly. Issac is not slovenly.,Issac is slovenly,0
144,0,Either Rebecca is stoic or Issac is slovenly. Issac is not slovenly.,Issac is not slovenly,1
145,0,Either Henriette is not staid or Carson is blunt. Henriette is not staid.,Henriette is staid,0
146,0,Either Henriette is not staid or Carson is blunt. Henriette is not staid.,Henriette is not staid,1
147,0,Either Henriette is not staid or Carson is blunt. Henriette is not staid.,Carson is blunt,0
148,0,Either Henriette is not staid or Carson is blunt. Henriette is not staid.,Carson is not blunt,1
149,0,Either Lona is idiotic or Burney is not joyous. Burney is joyous.,Lona is idiotic,1
150,0,Either Lona is idiotic or Burney is not joyous. Burney is joyous.,Lona is not idiotic,0
151,0,Either Lona is idiotic or Burney is not joyous. Burney is joyous.,Burney is joyous,1
152,0,Either Lona is idiotic or Burney is not joyous. Burney is joyous.,Burney is not joyous,0
153,1,Ariel is venal or Deven is unbalanced. Ariel is venal.,Ariel is venal,1
154,1,Ariel is venal or Deven is unbalanced. Ariel is venal.,Ariel is not venal,0
155,1,Ariel is venal or Deven is unbalanced. Ariel is venal.,Deven is unbalanced,1
156,1,Ariel is venal or Deven is unbalanced. Ariel is venal.,Deven is not unbalanced,1
157,1,Columbus is amusing or Jakob is not obnoxious. Jakob is not obnoxious.,Columbus is amusing,1
158,1,Columbus is amusing or Jakob is not obnoxious. Jakob is not obnoxious.,Columbus is not amusing,1
159,1,Columbus is amusing or Jakob is not obnoxious. Jakob is not obnoxious.,Jakob is obnoxious,0
160,1,Columbus is amusing or Jakob is not obnoxious. Jakob is not obnoxious.,Jakob is not obnoxious,1
161,0,Either Cory is not sour or Domenic is not unstable. Cory is sour.,Cory is sour,1
162,0,Either Cory is not sour or Domenic is not unstable. Cory is sour.,Cory is not sour,0
163,0,Either Cory is not sour or Domenic is not unstable. Cory is sour.,Domenic is unstable,0
164,0,Either Cory is not sour or Domenic is not unstable. Cory is sour.,Domenic is not unstable,1
165,1,Vivian is beneficent or Leatrice is not demure. Vivian is not beneficent.,Vivian is beneficent,0
166,1,Vivian is beneficent or Leatrice is not demure. Vivian is not beneficent.,Vivian is not beneficent,1
167,1,Vivian is beneficent or Leatrice is not demure. Vivian is not beneficent.,Leatrice is demure,0
168,1,Vivian is beneficent or Leatrice is not demure. Vivian is not beneficent.,Leatrice is not demure,1
169,1,Bernadette is not critical or Helena is unguarded. Helena is not unguarded.,Bernadette is critical,0
170,1,Bernadette is not critical or Helena is unguarded. Helena is not unguarded.,Bernadette is not critical,1
171,1,Bernadette is not critical or Helena is unguarded. Helena is not unguarded.,Helena is unguarded,0
172,1,Bernadette is not critical or Helena is unguarded. Helena is not unguarded.,Helena is not unguarded,1
173,0,Either Rae is not polite or Lemon is not shy. Rae is polite.,Rae is polite,1
174,0,Either Rae is not polite or Lemon is not shy. Rae is polite.,Rae is not polite,0
175,0,Either Rae is not polite or Lemon is not shy. Rae is polite.,Lemon is shy,0
176,0,Either Rae is not polite or Lemon is not shy. Rae is polite.,Lemon is not shy,1
177,0,Either Sylvia is wonderful or Seth is selfish. Sylvia is not wonderful.,Sylvia is wonderful,0
178,0,Either Sylvia is wonderful or Seth is selfish. Sylvia is not wonderful.,Sylvia is not wonderful,1
179,0,Either Sylvia is wonderful or Seth is selfish. Sylvia is not wonderful.,Seth is selfish,1
180,0,Either Sylvia is wonderful or Seth is selfish. Sylvia is not wonderful.,Seth is not selfish,0
181,1,Chandler is not amiable or Carrol is not irritating. Carrol is irritating.,Chandler is amiable,0
182,1,Chandler is not amiable or Carrol is not irritating. Carrol is irritating.,Chandler is not amiable,1
183,1,Chandler is not amiable or Carrol is not irritating. Carrol is irritating.,Carrol is irritating,1
184,1,Chandler is not amiable or Carrol is not irritating. Carrol is irritating.,Carrol is not irritating,0
185,1,Roy is analytical or Frona is obliging. Roy is analytical.,Roy is analytical,1
186,1,Roy is analytical or Frona is obliging. Roy is analytical.,Roy is not analytical,0
187,1,Roy is analytical or Frona is obliging. Roy is analytical.,Frona is obliging,1
188,1,Roy is analytical or Frona is obliging. Roy is analytical.,Frona is not obliging,1
189,1,Francis is unguarded or Benito is not crass. Benito is crass.,Francis is unguarded,1
190,1,Francis is unguarded or Benito is not crass. Benito is crass.,Francis is not unguarded,0
191,1,Francis is unguarded or Benito is not crass. Benito is crass.,Benito is crass,1
192,1,Francis is unguarded or Benito is not crass. Benito is crass.,Benito is not crass,0
193,0,Either Ilona is willing or Edna is not amusing. Edna is not amusing.,Ilona is willing,0
194,0,Either Ilona is willing or Edna is not amusing. Edna is not amusing.,Ilona is not willing,1
195,0,Either Ilona is willing or Edna is not amusing. Edna is not amusing.,Edna is amusing,0
196,0,Either Ilona is willing or Edna is not amusing. Edna is not amusing.,Edna is not amusing,1
197,1,Ted is agreeable or Harlan is not outspoken. Harlan is outspoken.,Ted is agreeable,1
198,1,Ted is agreeable or Harlan is not outspoken. Harlan is outspoken.,Ted is not agreeable,0
199,1,Ted is agreeable or Harlan is not outspoken. Harlan is outspoken.,Harlan is outspoken,1
200,1,Ted is agreeable or Harlan is not outspoken. Harlan is outspoken.,Harlan is not outspoken,0
201,0,Either Denny is sedate or Robbin is not indolent. Robbin is not indolent.,Denny is sedate,0
202,0,Either Denny is sedate or Robbin is not indolent. Robbin is not indolent.,Denny is not sedate,1
203,0,Either Denny is sedate or Robbin is not indolent. Robbin is not indolent.,Robbin is indolent,0
204,0,Either Denny is sedate or Robbin is not indolent. Robbin is not indolent.,Robbin is not indolent,1
205,1,Bernard is pensive or Della is not natural. Della is not natural.,Bernard is pensive,1
206,1,Bernard is pensive or Della is not natural. Della is not natural.,Bernard is not pensive,1
207,1,Bernard is pensive or Della is not natural. Della is not natural.,Della is natural,0
208,1,Bernard is pensive or Della is not natural. Della is not natural.,Della is not natural,1
209,0,Either Rogers is not crafty or Samuel is thoughtful. Rogers is not crafty.,Rogers is crafty,0
210,0,Either Rogers is not crafty or Samuel is thoughtful. Rogers is not crafty.,Rogers is not crafty,1
211,0,Either Rogers is not crafty or Samuel is thoughtful. Rogers is not crafty.,Samuel is thoughtful,0
212,0,Either Rogers is not crafty or Samuel is thoughtful. Rogers is not crafty.,Samuel is not thoughtful,1
213,1,Dick is efficient or Everett is meticulous. Dick is efficient.,Dick is efficient,1
214,1,Dick is efficient or Everett is meticulous. Dick is efficient.,Dick is not efficient,0
215,1,Dick is efficient or Everett is meticulous. Dick is efficient.,Everett is meticulous,1
216,1,Dick is efficient or Everett is meticulous. Dick is efficient.,Everett is not meticulous,1
217,1,Lavon is not polite or Franklin is critical. Lavon is polite.,Lavon is polite,1
218,1,Lavon is not polite or Franklin is critical. Lavon is polite.,Lavon is not polite,0
219,1,Lavon is not polite or Franklin is critical. Lavon is polite.,Franklin is critical,1
220,1,Lavon is not polite or Franklin is critical. Lavon is polite.,Franklin is not critical,0
221,0,Either Magdalena is somber or Simon is not coherent. Magdalena is somber.,Magdalena is somber,1
222,0,Either Magdalena is somber or Simon is not coherent. Magdalena is somber.,Magdalena is not somber,0
223,0,Either Magdalena is somber or Simon is not coherent. Magdalena is somber.,Simon is coherent,1
224,0,Either Magdalena is somber or Simon is not coherent. Magdalena is somber.,Simon is not coherent,0
225,0,Either Jim is not reassuring or Evert is not thinking. Jim is reassuring.,Jim is reassuring,1
226,0,Either Jim is not reassuring or Evert is not thinking. Jim is reassuring.,Jim is not reassuring,0
227,0,Either Jim is not reassuring or Evert is not thinking. Jim is reassuring.,Evert is thinking,0
228,0,Either Jim is not reassuring or Evert is not thinking. Jim is reassuring.,Evert is not thinking,1
229,1,Willie is musical or Kathy is not awful. Kathy is not awful.,Willie is musical,1
230,1,Willie is musical or Kathy is not awful. Kathy is not awful.,Willie is not musical,1
231,1,Willie is musical or Kathy is not awful. Kathy is not awful.,Kathy is awful,0
232,1,Willie is musical or Kathy is not awful. Kathy is not awful.,Kathy is not awful,1
233,1,Johan is not cruel or Thomas is alert. Johan is cruel.,Johan is cruel,1
234,1,Johan is not cruel or Thomas is alert. Johan is cruel.,Johan is not cruel,0
235,1,Johan is not cruel or Thomas is alert. Johan is cruel.,Thomas is alert,1
236,1,Johan is not cruel or Thomas is alert. Johan is cruel.,Thomas is not alert,0
237,0,Either Ana is not selfish or Manuel is not sassy. Ana is not selfish.,Ana is selfish,0
238,0,Either Ana is not selfish or Manuel is not sassy. Ana is not selfish.,Ana is not selfish,1
239,0,Either Ana is not selfish or Manuel is not sassy. Ana is not selfish.,Manuel is sassy,1
240,0,Either Ana is not selfish or Manuel is not sassy. Ana is not selfish.,Manuel is not sassy,0
241,0,Either Felipe is not dull or Malcom is not one-sided. Malcom is not one-sided.,Felipe is dull,1
242,0,Either Felipe is not dull or Malcom is not one-sided. Malcom is not one-sided.,Felipe is not dull,0
243,0,Either Felipe is not dull or Malcom is not one-sided. Malcom is not one-sided.,Malcom is one-sided,0
244,0,Either Felipe is not dull or Malcom is not one-sided. Malcom is not one-sided.,Malcom is not one-sided,1
245,0,Either Millard is not plucky or Naoma is not ridiculous. Millard is plucky.,Millard is plucky,1
246,0,Either Millard is not plucky or Naoma is not ridiculous. Millard is plucky.,Millard is not plucky,0
247,0,Either Millard is not plucky or Naoma is not ridiculous. Millard is plucky.,Naoma is ridiculous,0
248,0,Either Millard is not plucky or Naoma is not ridiculous. Millard is plucky.,Naoma is not ridiculous,1
249,1,Morgan is candid or Anne is somber. Morgan is candid.,Morgan is candid,1
250,1,Morgan is candid or Anne is somber. Morgan is candid.,Morgan is not candid,0
251,1,Morgan is candid or Anne is somber. Morgan is candid.,Anne is somber,1
252,1,Morgan is candid or Anne is somber. Morgan is candid.,Anne is not somber,1
253,1,Kristoffer is not plain or Jonathan is not apathetic. Jonathan is not apathetic.,Kristoffer is plain,1
254,1,Kristoffer is not plain or Jonathan is not apathetic. Jonathan is not apathetic.,Kristoffer is not plain,1
255,1,Kristoffer is not plain or Jonathan is not apathetic. Jonathan is not apathetic.,Jonathan is apathetic,0
256,1,Kristoffer is not plain or Jonathan is not apathetic. Jonathan is not apathetic.,Jonathan is not apathetic,1
257,1,Freeman is sulky or Velma is discreet. Freeman is sulky.,Freeman is sulky,1
258,1,Freeman is sulky or Velma is discreet. Freeman is sulky.,Freeman is not sulky,0
259,1,Freeman is sulky or Velma is discreet. Freeman is sulky.,Velma is discreet,1
260,1,Freeman is sulky or Velma is discreet. Freeman is sulky.,Velma is not discreet,1
261,0,Either Doug is not tactless or Judith is not shrewd. Judith is shrewd.,Doug is tactless,0
262,0,Either Doug is not tactless or Judith is not shrewd. Judith is shrewd.,Doug is not tactless,1
263,0,Either Doug is not tactless or Judith is not shrewd. Judith is shrewd.,Judith is shrewd,1
264,0,Either Doug is not tactless or Judith is not shrewd. Judith is shrewd.,Judith is not shrewd,0
265,1,Loran is dirty or Gail is not cheerful. Gail is cheerful.,Loran is dirty,1
266,1,Loran is dirty or Gail is not cheerful. Gail is cheerful.,Loran is not dirty,0
267,1,Loran is dirty or Gail is not cheerful. Gail is cheerful.,Gail is cheerful,1
268,1,Loran is dirty or Gail is not cheerful. Gail is cheerful.,Gail is not cheerful,0
269,1,Robbin is unpopular or Homer is vigilant. Robbin is not unpopular.,Robbin is unpopular,0
270,1,Robbin is unpopular or Homer is vigilant. Robbin is not unpopular.,Robbin is not unpopular,1
271,1,Robbin is unpopular or Homer is vigilant. Robbin is not unpopular.,Homer is vigilant,1
272,1,Robbin is unpopular or Homer is vigilant. Robbin is not unpopular.,Homer is not vigilant,0
273,0,Either Warren is not proud or Dale is natural. Warren is proud.,Warren is proud,1
274,0,Either Warren is not proud or Dale is natural. Warren is proud.,Warren is not proud,0
275,0,Either Warren is not proud or Dale is natural. Warren is proud.,Dale is natural,1
276,0,Either Warren is not proud or Dale is natural. Warren is proud.,Dale is not natural,0
277,1,Jacqueline is amusing or Marie is not natural. Marie is not natural.,Jacqueline is amusing,1
278,1,Jacqueline is amusing or Marie is not natural. Marie is not natural.,Jacqueline is not amusing,1
279,1,Jacqueline is amusing or Marie is not natural. Marie is not natural.,Marie is natural,0
280,1,Jacqueline is amusing or Marie is not natural. Marie is not natural.,Marie is not natural,1
281,0,Either Ismael is petulant or Sybil is not sloppy. Ismael is not petulant.,Ismael is petulant,0
282,0,Either Ismael is petulant or Sybil is not sloppy. Ismael is not petulant.,Ismael is not petulant,1
283,0,Either Ismael is petulant or Sybil is not sloppy. Ismael is not petulant.,Sybil is sloppy,0
284,0,Either Ismael is petulant or Sybil is not sloppy. Ismael is not petulant.,Sybil is not sloppy,1
285,0,Either Roxie is peevish or Betty is not tactless. Betty is tactless.,Roxie is peevish,1
286,0,Either Roxie is peevish or Betty is not tactless. Betty is tactless.,Roxie is not peevish,0
287,0,Either Roxie is peevish or Betty is not tactless. Betty is tactless.,Betty is tactless,1
288,0,Either Roxie is peevish or Betty is not tactless. Betty is tactless.,Betty is not tactless,0
289,0,Either Frank is not drugged or Alfonso is proficient. Alfonso is proficient.,Frank is drugged,1
290,0,Either Frank is not drugged or Alfonso is proficient. Alfonso is proficient.,Frank is not drugged,0
291,0,Either Frank is not drugged or Alfonso is proficient. Alfonso is proficient.,Alfonso is proficient,1
292,0,Either Frank is not drugged or Alfonso is proficient. Alfonso is proficient.,Alfonso is not proficient,0
293,0,Either Mason is incisive or Leanna is cowardly. Leanna is not cowardly.,Mason is incisive,1
294,0,Either Mason is incisive or Leanna is cowardly. Leanna is not cowardly.,Mason is not incisive,0
295,0,Either Mason is incisive or Leanna is cowardly. Leanna is not cowardly.,Leanna is cowardly,0
296,0,Either Mason is incisive or Leanna is cowardly. Leanna is not cowardly.,Leanna is not cowardly,1
297,1,Eligah is sassy or Shelby is not childish. Shelby is childish.,Eligah is sassy,1
298,1,Eligah is sassy or Shelby is not childish. Shelby is childish.,Eligah is not sassy,0
299,1,Eligah is sassy or Shelby is not childish. Shelby is childish.,Shelby is childish,1
300,1,Eligah is sassy or Shelby is not childish. Shelby is childish.,Shelby is not childish,0
301,0,Either Beatrice is awesome or Vernell is not musical. Beatrice is not awesome.,Beatrice is awesome,0
302,0,Either Beatrice is awesome or Vernell is not musical. Beatrice is not awesome.,Beatrice is not awesome,1
303,0,Either Beatrice is awesome or Vernell is not musical. Beatrice is not awesome.,Vernell is musical,0
304,0,Either Beatrice is awesome or Vernell is not musical. Beatrice is not awesome.,Vernell is not musical,1
305,0,Either Emil is not tolerant or Winifred is not serious. Winifred is not serious.,Emil is tolerant,1
306,0,Either Emil is not tolerant or Winifred is not serious. Winifred is not serious.,Emil is not tolerant,0
307,0,Either Emil is not tolerant or Winifred is not serious. Winifred is not serious.,Winifred is serious,0
308,0,Either Emil is not tolerant or Winifred is not serious. Winifred is not serious.,Winifred is not serious,1
309,1,Robbie is volcanic or Laura is joyous. Robbie is volcanic.,Robbie is volcanic,1
310,1,Robbie is volcanic or Laura is joyous. Robbie is volcanic.,Robbie is not volcanic,0
311,1,Robbie is volcanic or Laura is joyous. Robbie is volcanic.,Laura is joyous,1
312,1,Robbie is volcanic or Laura is joyous. Robbie is volcanic.,Laura is not joyous,1
